id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),16,9320601,198869927,"3,875",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
intothewoods,Into the Woods,BV,8,8081110,72143214,"2,507",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
unbroken,Unbroken,Uni.,8,6953045,69481655,"3,167",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,14,5974323,75328905,"3,914",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
annie2014,Annie (2014),Sony,14,4257057,61208977,"3,197",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,42,2891634,316174548,"2,793",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
imitationgame,The Imitation Game,Wein.,35,2763044,22699563,747,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
gambler,The Gambler,Par.,8,2388296,21269152,"2,478",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
disney2014,Big Hero 6,BV,56,1875566,206452220,"2,065",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
exodus,Exodus: Gods and Kings,Fox,21,1797952,57525292,"3,002",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
wild2014,Wild (2014),FoxS,30,1574164,21316811,"1,285",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,37,1192791,75221013,"2,033",2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
